Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Phagocytosis (GO:0050766),18/60,4.560003109759431e-05,0.0011056726641416,0,0,3.5204647478214945,35.18916503569556,FCN1;TUB;FCN3;FCER1G;APLP2;SLC11A1;SFTPD;ANO6;FPR2;PLA2G5;CFP;GATA2;SIRPB1;C2;SIRPA;CD47;GAS6;CD300LF
GO_Biological_Process_2023,Cell-Cell Junction Assembly (GO:0007043),20/71,4.822757326969257e-05,0.0011628503141452,0,0,3.2226877800148737,32.03216184732331,RAMP2;SMAD7;CDH6;CLDN11;GJC1;TJP1;CDH5;CLDN5;GJA1;GJD3;GJA5;GJA4;CDH11;EPB41L3;CDH13;DCHS1;TLN1;MPDZ;VCL;JAM3
GO_Biological_Process_2023,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),37/174,5.0580541109489966e-05,0.0012128089746031,0,0,2.226182090415667,22.021267723324204,TYRP1;PDGFB;HBB;PTH1R;PTGS2;CLU;FGF2;FOXO1;FXR1;DUOXA1;CD36;PPARGC1A;LDLR;MFSD2A;SNCA;PDGFRB;EGR1;TCF7L2;STARD4;EDN1;HGF;MID1IP1;CIRBP;IGF2;SAMD4A;SORBS1;KLF4;LARP6;KLF2;KAT2B;IL6;ZEB2;RGCC;AGTR2;VIM;FGFR4;TLR4
GO_Biological_Process_2023,Actin Filament Polymerization (GO:0030041),12/31,5.320364300347404e-05,0.0012539575194779,0,0,5.180402619451855,50.98232982832796,PREX1;DIAPH2;GSN;FAM107A;MSRB2;COBL;ANG;JAK2;FHDC1;ARHGAP6;WASF3;GAS7
GO_Biological_Process_2023,Negative Regulation Of Cell-Matrix Adhesion (GO:0001953),12/31,5.320364300347404e-05,0.0012539575194779,0,0,5.180402619451855,50.98232982832796,ACVRL1;DMTN;JAG1;MYOC;FAM107A;PTEN;SEMA3E;APOD;ARHGAP6;PHLDB2;CORO1C;CLASP2
GO_Biological_Process_2023,Neuron Projection Guidance (GO:0097485),29/124,5.345880064502906e-05,0.0012539575194779,0,0,2.512855990417288,24.717957431431334,SEMA5A;ROBO2;ROBO4;PTPRO;NRXN3;SEMA3G;NEXN;SEMA3E;EFNB2;TNR;FYN;SLIT2;ARHGEF40;NEO1;SEMA6A;BDNF;CNTN6;DCC;SEMA6D;UNC5C;ENAH;NFASC;CXCL12;PALLD;FEZ1;CNTN1;PRKCQ;CNTN4;EPHA3
GO_Biological_Process_2023,Positive Regulation Of Defense Response (GO:0031349),29/124,5.345880064502906e-05,0.0012539575194779,0,0,2.512855990417288,24.717957431431334,PTGER4;CEBPA;FPR2;NLRC4;ETS1;CX3CL1;CAMK2N1;HYAL2;CASP1;S100A12;EMILIN1;GPSM3;SNCA;IL33;MEF2C;TSLP;PDE2A;SH2D1B;NKG7;GPR4;MYO1C;MMRN2;AGTR1;TLR8;CD47;TLR4;OPTN;S100A8;TLR3
GO_Biological_Process_2023,Axon Guidance (GO:0007411),33/149,5.4494136270895816e-05,0.001271333471055,0,0,2.3433754272235685,23.00589481919446,SEMA5A;ROBO2;ROBO4;PTPRO;NRXN3;SEMA3G;PTPRM;NEXN;SEMA3E;EFNB2;CHN1;PLXNA2;TNR;FYN;SLIT2;ARHGEF40;NEO1;SEMA6A;BDNF;CNTN6;DCC;SEMA6D;UNC5C;ENAH;NFASC;CXCL12;PALLD;NFIB;FEZ1;CNTN1;PRKCQ;CNTN4;EPHA3
GO_Biological_Process_2023,Negative Regulation Of Cell Growth (GO:0030308),29/125,6.245305028981908e-05,0.0014355851121644,0,0,2.486540099086546,24.07243211130424,ACVRL1;BMPR2;NPR1;FHL1;JADE1;SEMA3G;WFDC1;PRDM11;RERG;PPP2CA;GJA1;SOX17;MAP2;HYAL1;CCDC85B;FRZB;HYAL2;DACT3;MSX1;SLIT2;TGFB2;TGFB1;DCC;SMARCA2;SFRP1;ULK2;SCGB3A1;AGTR2;FBP1
GO_Biological_Process_2023,Neuron Development (GO:0048666),33/150,6.265847563949942e-05,0.0014355851121644,0,0,2.323215329729988,22.48364026788324,ROBO2;GPM6A;GSK3B;BTG2;ATP8A2;RASGRF1;PTPRM;HMGB1;FRY;AGER;FLRT3;MAP2;TMEM108;DMD;MAP4;SH3GL2;NTRK2;MEF2C;TGFB2;MYOC;LGI4;ETV1;LAMB1;PBX1;RAB11A;EHD1;GPRIN2;IL6;VAPA;NEDD4;RAPGEF2;CNTN4;FRYL
GO_Biological_Process_2023,Negative Regulation Of Cell-Substrate Junction Organization (GO:0150118),8/15,6.28650570433481e-05,0.0014355851121644,0,0,9.363122617952424,90.5837177838,DMTN;FAM107A;PTEN;APOD;ARHGAP6;PHLDB2;CORO1C;CLASP2
GO_Biological_Process_2023,Negative Regulation Of Focal Adhesion Assembly (GO:0051895),8/15,6.28650570433481e-05,0.0014355851121644,0,0,9.363122617952424,90.5837177838,DMTN;FAM107A;PTEN;APOD;ARHGAP6;PHLDB2;CORO1C;CLASP2
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),37/176,6.528546682636985e-05,0.0014615563702074,0,0,2.1939025003773205,21.14207040912324,COLGALT2;ECM2;COL13A1;COL14A1;ELN;COL12A1;DPT;NDNF;NID1;THSD4;ADAMTS15;ADAMTS5;ADAMTS1;ADAMTSL4;SPOCK2;MMP28;HAS3;SLC39A8;CTSG;HMCN1;ADAMTS8;TPSAB1;GPM6B;CRTAP;TGFB2;TGFB1;GSN;NPNT;COL4A2;COL4A3;COL4A6;COL4A5;MMP19;GAS6;RECK;MATN3;DDR2
GO_Biological_Process_2023,SMAD Protein Signal Transduction (GO:0060395),16/51,6.545647709991875e-05,0.0014615563702074,0,0,3.7531724046959503,36.15853249850593,GDF10;LEFTY1;JUN;TGFB2;TGFB1;MAGI2;SMAD9;FOS;SMAD6;BMP6;BMP5;SMAD7;BMP4;SKI;BMP2;ATOH8
GO_Biological_Process_2023,Receptor Internalization (GO:0031623),16/51,6.545647709991875e-05,0.0014615563702074,0,0,3.7531724046959503,36.15853249850593,CCL14;RAMP2;FCER1G;CALCRL;RAMP3;TFRC;LRP1;CAV1;ARRB1;DNM3;SNX1;DMBT1;NEDD4;CXCR2;CD36;SNCA
GO_Biological_Process_2023,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),16/51,6.545647709991875e-05,0.0014615563702074,0,0,3.7531724046959503,36.15853249850593,TRPC1;F2R;ANK2;CX3CL1;FKBP1A;UBASH3B;GPER1;FKBP1B;APLNR;CASQ2;XCL1;DMD;NOS1;PRKACA;CALM1;SNCA
GO_Biological_Process_2023,Positive Regulation Of Ossification (GO:0045778),14/41,6.569553656632294e-05,0.0014615563702074,0,0,4.255056717233839,40.97823679032906,KL;MEF2C;BMPR2;PKDCC;ZBTB16;ANO6;PTN;SLC8A1;BMP6;BMP4;BMP2;ALOX5;TMEM119;GPM6B
