Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Regulation
232095_at,6.943074634861702,8.53222684745,-1.5891522125882975,-16.51581801161928,4.6112690332034255e-38,3.039481816420091e-36,Downregulated
201058_s_at,9.217893082521277,11.764801674040003,-2.5469085915187257,-18.163408036996874,4.6554780500635395e-38,3.064865880057742e-36,Downregulated
209116_x_at,9.15800541837234,13.331092967399998,-4.173087549027658,-17.842207706699213,4.829831994126619e-38,3.1757621471405175e-36,Downregulated
214710_s_at,7.860969461702125,4.722031397009999,3.138938064692126,18.457643069547622,4.96104042902281e-38,3.2580527535460426e-36,Upregulated
226718_at,4.2536555130425535,5.93707439145,-1.6834188784074469,-16.303739955081916,5.036354213431684e-38,3.303479850288251e-36,Downregulated
205107_s_at,6.999599346617023,5.11617373531,1.8834256113070227,19.5975481055955,5.082207952192029e-38,3.329496186560298e-36,Upregulated
242523_at,3.944703019968085,5.50546409587,-1.5607610759019148,-16.281713525265708,5.353196584574119e-38,3.502761940363791e-36,Downregulated
221015_s_at,2.743736676723404,3.7992352826199998,-1.0554986058965956,-17.94314907272875,5.402947099979129e-38,3.53101959561941e-36,Downregulated
223693_s_at,3.9444446141063834,5.073638646589999,-1.1291940324836158,-16.767897771136127,5.514609727417185e-38,3.5996213446463676e-36,Downregulated
216905_s_at,8.772276432361702,7.2693853386,1.5028910937617015,16.995313215281282,6.01746305848808e-38,3.923094158349574e-36,Upregulated
228693_at,5.194997507968085,7.543729261409998,-2.348731753441913,-17.813848875806585,6.306571923076068e-38,4.1066014219681526e-36,Downregulated
209079_x_at,7.240958129138297,9.679876353309998,-2.438918224171701,-17.75989634542145,6.374946062913676e-38,4.146104582102479e-36,Downregulated
209159_s_at,2.738643011893617,4.84210981419,-2.1034668022963827,-17.020896344676373,6.554318141656908e-38,4.2576154054004644e-36,Downregulated
213221_s_at,7.721076596585105,9.147433661580001,-1.426357064994896,-17.493531686828977,6.573779316961617e-38,4.265106083740622e-36,Downregulated
228737_at,5.49149507912766,8.271384001600001,-2.779888922472341,-17.770174874835647,6.785553386231268e-38,4.397202101588373e-36,Downregulated
227139_s_at,9.809527729861705,8.66236118046,1.147166549401705,17.686358255774355,6.972043546860825e-38,4.512615333471195e-36,Upregulated
