Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Significant,Regulation,Gene Symbol,Gene Title,Display_Name
222250_s_at,7.31347654194681,6.22918891955,1.0842876223968094,14.510380916351714,2.1167823861028488e-29,6.094928127351596e-28,True,Upregulated,INTS7,integrator complex subunit 7,INTS7
215175_at,4.947369168170213,3.8633203980700004,1.0840487701002126,6.178608805733081,7.730874934956073e-09,3.334505527277846e-08,True,Upregulated,PCNX,pecanex homolog (Drosophila),PCNX
221782_at,9.755358649861702,8.67131475042,1.084043899441701,12.150870363881449,3.2029030620939587e-23,5.403743541335811e-22,True,Upregulated,DNAJC10,"DnaJ (Hsp40) homolog, subfamily C, member 10",DNAJC10
227094_at,8.201942235127659,7.1190854374,1.0828567977276586,12.152618959577797,7.291556396117068e-23,1.1953174407849822e-21,True,Upregulated,DHTKD1,dehydrogenase E1 and transketolase domain containing 1,DHTKD1
244801_at,4.168107832319149,3.0865047893300006,1.0816030429891481,8.113942052556146,2.7629109663059105e-13,1.873735080490855e-12,True,Upregulated,PSMB7,"proteasome (prosome, macropain) subunit, beta type, 7",PSMB7
210325_at,3.7126769196276586,2.6311975705100004,1.0814793491176582,4.646892501118093,7.951631553476973e-06,2.4721760389324418e-05,True,Upregulated,CD1A,CD1a molecule,CD1A
225723_at,8.249834004553191,7.168514017490001,1.0813199870631909,11.390008921293509,2.6247341837270185e-21,3.745660727140924e-20,True,Upregulated,CCDC167,coiled-coil domain containing 167,CCDC167
244786_at,4.466410544776595,3.38530692693,1.0811036178465954,9.549987510579209,1.4195918531894538e-17,1.4535345024871116e-16,True,Upregulated,SCARNA13,small Cajal body-specific RNA 13 /// small nucleolar RNA host gene 10 (non-protein coding),SCARNA13
220704_at,4.634605683648936,3.5535045507,1.0811011329489362,7.027888530881603,1.1557008550748891e-10,6.010493733422741e-10,True,Upregulated,IKZF1,IKAROS family zinc finger 1 (Ikaros),IKZF1
219995_s_at,6.43575004143617,5.35480104676,1.0809489946761701,4.449532847488737,1.8102392479093903e-05,5.396304837779442e-05,True,Upregulated,ZNF750,zinc finger protein 750,ZNF750
233056_x_at,9.500936380659574,8.42009034089,1.0808460397695736,8.064928363097767,2.2904613160316034e-13,1.5659686328216069e-12,True,Upregulated,DLGAP4,"discs, large (Drosophila) homolog-associated protein 4",DLGAP4
