Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Regulation
1552303_a_at,5.377635572861704,4.9909274282,0.38670814466170356,6.173877007004557,1.002788427091724e-08,4.2789352113887716e-08,Upregulated
1552304_at,2.556198807010638,2.22122713166,0.334971675350638,4.834238770823607,5.217242020900955e-06,1.6564227574297785e-05,Upregulated
1552306_at,5.069438713010639,4.42913723126,0.6403014817506385,6.11534101816894,1.1988157271857833e-08,5.0747286874244095e-08,Upregulated
1552307_a_at,4.971855619031916,3.81910070901,1.1527549100219159,9.037257297422684,5.630213454319552e-15,4.5408106290902896e-14,Upregulated
1552309_a_at,6.76639079357447,9.386117593589999,-2.6197268000155294,-18.405599993480482,1.2868782873459116e-38,8.931101362991897e-37,Downregulated
1552310_at,8.004900494659575,8.01585844994,-0.01095795528042487,-0.13148095781781677,0.8955766181609086,0.9159612083211818,Downregulated
1552311_a_at,2.898636067723404,2.7615774459800004,0.13705862174340355,3.848108240984568,0.00019478172455733507,0.0005065285421380275,Upregulated
1552312_a_at,5.958154576499998,6.191021661060001,-0.23286708456000227,-1.4929058850378816,0.13710340487091882,0.20481702793975765,Downregulated
1552314_a_at,2.7445596507340424,2.5125966623799996,0.23196298835404283,4.220778854584479,4.563691509473641e-05,0.00012900079437069018,Upregulated
1552315_at,5.7058888506595755,7.46980010831,-1.7639112576504248,-14.435262913402244,1.8547656997530543e-32,7.0056480285756865e-31,Downregulated
1552316_a_at,8.25165874906383,10.102227929420001,-1.850569180356171,-14.491481648249113,2.544229033241589e-31,8.694021777759346e-30,Downregulated
1552318_at,6.547851687191487,9.124128590159998,-2.5762769029685106,-17.763074417413275,1.0091853788503968e-41,8.81169558228043e-40,Downregulated
1552319_a_at,3.364657950765958,2.9598318704300004,0.4048260803359578,3.996375151265989,0.00012761604054137084,0.00033974936180558194,Upregulated
1552320_a_at,2.4479667036382975,3.2259041358600005,-0.777937432221703,-5.442251300490228,2.3360531595229935e-07,8.588688641146735e-07,Downregulated
1552321_a_at,2.32143936543617,2.9343112045899993,-0.6128718391538293,-4.801699110721729,4.0508622960392465e-06,1.3014735048967618e-05,Downregulated
1552322_at,2.2737626327872342,2.22259443312,0.051168199667234404,3.0416193704669308,0.0029071184714839784,0.006385000371890941,Upregulated
1552323_s_at,3.703368443212765,3.2898932836600006,0.41347515955276437,4.936162705635849,2.427836977175464e-06,7.99214392890382e-06,Upregulated
1552325_at,2.3578905875851066,2.750906719029999,-0.39301613144489256,-4.001473067000958,0.00010383414899450111,0.00028002524758414745,Downregulated
1552326_a_at,3.4498208691170213,4.750528521270001,-1.3007076521529792,-5.540617394451911,1.1864098323239446e-07,4.509698886316303e-07,Downregulated
1552327_at,4.443378479702128,4.269426588049999,0.17395189165212877,1.9931859674574457,0.04785563205390997,0.08284666470280992,Upregulated
1552329_at,6.695109582978723,6.7464872936699996,-0.051377710691276945,-0.5004130111016944,0.6174231845829099,0.6737142620704454,Downregulated
1552330_at,7.151017456063829,6.697053116799999,0.4539643392638295,4.021638540844119,8.770304263546841e-05,0.0002389421462461404,Upregulated
1552332_at,5.520435982446809,5.537662439390001,-0.017226456943191693,-1.2466783379707964,0.2144260761342997,0.2944029607736519,Downregulated
1552334_at,5.287180971117021,4.685585038399999,0.6015959327170215,5.9290047071906855,2.4716769901729026e-08,1.0128885226166838e-07,Upregulated
1552335_at,2.4602936940744677,2.30047788739,0.1598158066844677,2.3188422618858,0.02214196901355618,0.04153627041584587,Upregulated
1552337_s_at,2.3025859297446805,2.21289975722,0.08968617252468025,2.6924622598086287,0.008412443916186469,0.01710344768384069,Upregulated
1552338_at,2.223264107691489,2.212752368,0.010511739691489108,1.0004919115350588,0.3196686129432378,0.39274219848801906,Upregulated
1552340_at,2.236418871010638,2.2133151996,0.02310367141063807,1.1296152409328841,0.2615416315304178,0.34452301699975363,Upregulated
1552343_s_at,5.433890905680851,4.39280064815,1.0410902575308514,8.680570705606765,2.3196481979712455e-14,1.754036243161555e-13,Upregulated
1552344_s_at,6.460768353202126,6.510444656460001,-0.04967630325787464,-0.4746079292764017,0.6356923733232641,0.6904768109591233,Downregulated
1552347_at,8.107696043882978,7.63867546823,0.46902057565297817,4.969437999769219,1.775665617097293e-06,5.932415111571837e-06,Upregulated
1552348_at,2.2738282315319145,2.23515888754,0.03866934399191457,0.9293576560678498,0.3549081441006045,0.42564919478661034,Upregulated
1552349_a_at,2.2467078908829787,2.2230129683200004,0.023694922562978338,1.1688739988971282,0.24522010509077993,0.32756509555228336,Upregulated
1552354_at,2.249939126,2.22418214245,0.02575698355,0.9141641020878473,0.36285072108265914,0.4332235761981821,Upregulated
1552355_s_at,2.240668297659574,2.2136739952599997,0.026994302399574455,1.1623042443571343,0.24808391826524948,0.3305859729904791,Upregulated
1552359_at,2.329467125904255,2.22168857621,0.10777854969425515,2.3566991726438205,0.020488059440238852,0.03874721396106494,Upregulated
1552360_a_at,5.04487225087234,5.0131505569299994,0.031721693942340146,0.4131719078580853,0.6801312356440725,0.7306225137380832,Upregulated
1552362_a_at,3.9700443480425545,3.9619779879599997,0.008066360082554791,0.07987003733931071,0.9364551474987621,0.9493935604653538,Upregulated
1552364_s_at,3.328099341329787,2.5997445122700005,0.7283548290597865,7.93329967707307,3.046230792187678e-12,1.8578588205987803e-11,Upregulated
1552365_at,8.046138631223405,6.763264916669999,1.2828737145534062,5.8580769151157,4.8368486287010824e-08,1.919394572401626e-07,Upregulated
1552367_a_at,7.114394691893617,5.847027573860001,1.267367118033616,5.344991169267378,5.033609244329153e-07,1.7869296205893199e-06,Upregulated
1552368_at,2.215995084095745,2.22086301339,-0.004867929294254836,-1.1706973252429542,0.24379616075615743,0.3259625211899842,Downregulated
1552370_at,6.846803759776596,6.795845639590001,0.05095812018659451,0.4370486100528951,0.6627180205018782,0.715130235348568,Upregulated
1552372_at,2.2131775480212768,2.2130265319699998,0.00015101605127698647,0.4270051763028276,0.6700767546167095,0.721796609865704,Upregulated
1552373_s_at,2.2161530956914888,2.23018172184,-0.014028626148511414,-1.4391572266995016,0.15309512332596922,0.22436987202208666,Downregulated
1552375_at,2.5522521869042554,2.485026956,0.06722523090425536,1.3305524592847873,0.18546764289311368,0.2619135451671684,Upregulated
1552377_s_at,2.3270247775319155,2.2782603266800003,0.048764450851915164,1.9594480169495663,0.052015066782859595,0.08910951656207435,Upregulated
1552378_s_at,6.426528408765956,5.166726464159999,1.2598019446059574,7.358863180086752,1.975140905266448e-11,1.1118255230838426e-10,Upregulated
1552379_at,2.218081943234042,2.21302540333,0.00505653990404209,1.5545165526820615,0.12341855248229006,0.18760429187803676,Upregulated
1552381_at,2.564083388989362,2.253700979800001,0.3103824091893612,4.268231275997476,4.7116215482349636e-05,0.00013296567322176701,Upregulated
1552383_at,5.953595104861703,6.02550248801,-0.07190738314829659,-1.6208702548207585,0.10668963516486842,0.1660803634225982,Downregulated
